,age,Nombre de clients
0,18.0,437
31,19.0,145
30,20.0,145
40,21.0,125
38,22.0,136
19,23.0,159
35,24.0,137
24,25.0,151
9,26.0,179
12,27.0,175
21,28.0,156
36,29.0,136
7,30.0,186
29,31.0,145
26,32.0,148
27,33.0,148
2,34.0,207
10,35.0,176
3,36.0,203
42,37.0,115
22,38.0,155
15,39.0,162
5,40.0,191
13,41.0,165
6,42.0,191
1,43.0,215
4,44.0,199
11,45.0,176
16,46.0,161
20,47.0,157
18,48.0,160
25,49.0,151
34,50.0,141
17,51.0,161
14,52.0,162
33,53.0,142
8,54.0,181
28,55.0,146
39,56.0,128
32,57.0,145
37,58.0,136
44,59.0,108
45,60.0,107
52,61.0,61
41,62.0,118
46,63.0,99
43,64.0,108
47,65.0,99
23,66.0,154
50,67.0,86
49,68.0,88
48,69.0,89
51,70.0,71
55,71.0,54
54,72.0,56
53,73.0,60
57,74.0,39
60,75.0,32
59,76.0,37
58,77.0,39
63,78.0,28
65,79.0,20
56,80.0,40
61,81.0,28
64,82.0,24
62,83.0,28
66,84.0,18
67,85.0,17
69,86.0,12
71,87.0,8
68,88.0,13
70,89.0,8
72,90.0,6
74,91.0,4
73,92.0,4
75,93.0,3
